ARTIST_ID,ALBUM_ID,ALBUM_NAME,ALBUM_YEAR,ALBUM_POPULARITY
2clJOOkMz707eU2OnHgS0z,4QQgXkCYTt3BlENzhyNETg,"Holiday",2014,50
4Mu5IyTkOziGIQjrLVSnYM,4QQgXkCYTt3BlENzhyNETg,"The Promise",2014,47
5YeUWgu0ljI6RPQ0LTYh5p,4QQgXkCYTt3BlENzhyNETg,"Now, Then & Forever",2013,38
3b3JBgS6tMqMupmviF0ruR,4QQgXkCYTt3BlENzhyNETg,"Constellations: The Universe Of Earth, Wind & Fire",2013,45
7eccDY0PWfI232xkP1Q5QM,4QQgXkCYTt3BlENzhyNETg,"Live in Japan",2008,33
3h8pxPJ3RIremB9B1oiLwM,4QQgXkCYTt3BlENzhyNETg,"Illumination",2005,26
24QQHdqK3VHd6RYlEkUHRE,4QQgXkCYTt3BlENzhyNETg,"Illumination",2005,28
0z6W2jsDYM5w0Vhn7UDHNv,4QQgXkCYTt3BlENzhyNETg,"That's The Way Of The World: Alive In '75",2002,32
1EoQsfQLa5tHthlgkDE6Ro,4QQgXkCYTt3BlENzhyNETg,"Heritage",1990,25
1num92a5GVrzsjg9mcALXO,4QQgXkCYTt3BlENzhyNETg,"Touch The World",1987,31
2KW8LEWDofKSztOfd0zdQl,4QQgXkCYTt3BlENzhyNETg,"Electric Universe",1983,25
3hZjcwZDDQOYB9PiGzEKSa,4QQgXkCYTt3BlENzhyNETg,"Powerlight",1983,32
1hj1SYbJYdXloRiSjsCLXg,4QQgXkCYTt3BlENzhyNETg,"Raise!",1981,60
6LapfqQYqVWO1kDb6GDXr6,4QQgXkCYTt3BlENzhyNETg,"Faces",1980,39
4RLVTxnuVN5ZWZqBFnaaQt,4QQgXkCYTt3BlENzhyNETg,"I Am",1979,58
0w0eT42Gyq6G9yXB0RirWh,4QQgXkCYTt3BlENzhyNETg,"All 'N All",1977,48
4p7Fp1dbgVOT4WVxKPpKHM,4QQgXkCYTt3BlENzhyNETg,"Spirit",1976,48
7AqOsJkpKZdkiap6CmIJ3Z,4QQgXkCYTt3BlENzhyNETg,"Gratitude",1975,45
5tXZfxvr2VaWibD74nw8VL,4QQgXkCYTt3BlENzhyNETg,"That's The Way Of The World",1975,50
5wELXR9l9i0ffOylTmpHV0,4QQgXkCYTt3BlENzhyNETg,"Open Our Eyes",1974,37
01c1PLpIdfwy47yid7GqKB,4QQgXkCYTt3BlENzhyNETg,"Head To The Sky",1973,35
0IUdgjh7I8hKKu6ncHZKW7,4QQgXkCYTt3BlENzhyNETg,"Last Days and Time",1972,30
2hzWzBtuhlpa9qGwtoAtzB,4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",1971,28
3EkU0XjJLHN6OBcxbFxgHB,4QQgXkCYTt3BlENzhyNETg,"The Need Of Love",1971,27
5iKpYBmAMsyGD5iTD3VjVf,7dNsHhGeGU5MV01r06O8gK,"On The Air: Her Best TV Performances",2012,38
42ClQwOX06MiqvPJ97yoNC,7dNsHhGeGU5MV01r06O8gK,"Sweet Dreams: Her Complete Decca Masters (1960-1963)",2010,48
0PJ9D3BWCCDHzYDwFjIeoU,7dNsHhGeGU5MV01r06O8gK,"Golden Hits",2006,42
4Jf4kwcCtHx7bpoCHAPeIR,7dNsHhGeGU5MV01r06O8gK,"The Definitive Collection",2004,36
6fOw8Kq5lFBALBtElXiSUo,7dNsHhGeGU5MV01r06O8gK,"Greatest Hits",2003,42
3kwl00I9hJSfwfWc4T3NAx,7dNsHhGeGU5MV01r06O8gK,"Gold",2005,51
7nicBOHkAJ944utrDrR3kv,7dNsHhGeGU5MV01r06O8gK,"Patsy Cline",1998,37
6nAexHN9lcR3qSiMqI3Qa8,7dNsHhGeGU5MV01r06O8gK,"7 days Presents: Patsy Cline - The Sound Of Nashville",2006,25
1F6Bna0VmOWSgXFY6XBGNS,7dNsHhGeGU5MV01r06O8gK,"Back To Back",1997,14
0TG2GEHyjM6E2JD2jQPfCV,7dNsHhGeGU5MV01r06O8gK,"Live At The Cimarron Ballroom",1997,14
4SQh8M9IqxlNivEbdplFwk,7dNsHhGeGU5MV01r06O8gK,"Classics",1996,28
3yPKxQWUMdMUzHBG7emEV3,7dNsHhGeGU5MV01r06O8gK,"Classics Collection",1994,19
6iPABXOkhhlvPRSifXDqdq,7dNsHhGeGU5MV01r06O8gK,"Best Of Patsy Cline",1991,14
1xA2yRz4VCNPpzDIioyowJ,2Ev0e8GUIX4u7d9etNLTXg,"Greatest Hits",1989,41
5gxBIXJ1k1Y0A4oPEHUOal,7dNsHhGeGU5MV01r06O8gK,"Patsy Cline Showcase With The Jordanaires",1988,20
4bmb2HJhjcf5HDZddJoZgk,7dNsHhGeGU5MV01r06O8gK,"The Last Sessions",1989,11
5YggcDUsY54lFnXOmZCEoK,7dNsHhGeGU5MV01r06O8gK,"Always",1988,5
2T6WHMbX1BzWxAayyXOEc6,7dNsHhGeGU5MV01r06O8gK,"Stop, Look & Listen",1986,14
0jeuncvULWPJaLUavmJyeB,2Ev0e8GUIX4u7d9etNLTXg,"Remembering",1982,19
0GhlY0htAsFNb0eHO9y1lZ,7dNsHhGeGU5MV01r06O8gK,"Sentimentally Yours",1962,29
5ot3ae2G6TLEOjIQze2e5S,7dNsHhGeGU5MV01r06O8gK,"Patsy Cline",1957,12
0Ua35t5TCvQpDWw3IdfvmR,16s0YTFcyjP4kgFwt7ktrY,"Do You Ever Shine?",2014,39
4y2nu0kktNaHDwZwLgXyJb,16s0YTFcyjP4kgFwt7ktrY,"五月天【追夢3DNA】電影原聲音樂專輯",2011,37
5DI7fYp7RaLIq6BTtpI3iS,16s0YTFcyjP4kgFwt7ktrY,"第二人生",2011,51
1MWC0YMUDZLlrVJzKaBQQ9,16s0YTFcyjP4kgFwt7ktrY,"五月天〔創造〕小巨蛋 D.N.A LIVE 創紀錄音",2009,41
5mpS6G41qvNn60rU3JTNUT,16s0YTFcyjP4kgFwt7ktrY,"後青春期的詩",2008,49
0YHWSGJcdwc129x5nd9aTc,16s0YTFcyjP4kgFwt7ktrY,"為愛而生",2006,39
1dIty9t7gGk0yq00tydKzU,16s0YTFcyjP4kgFwt7ktrY,"知足 just my pride 最真傑作選",2005,50
4rAJj0jX1HOMToUsVeCz12,16s0YTFcyjP4kgFwt7ktrY,"當我們混在一起 2005世界巡迴演唱會",2005,32
3PwfyEFs0H0Odm1KoJje6J,16s0YTFcyjP4kgFwt7ktrY,"神的孩子都在跳舞",2004,36
2UEyfREkXyE2PAzzya0w0C,16s0YTFcyjP4kgFwt7ktrY,"五月之戀電影原聲帶",2004,35
5W3mP3rco8UOXmenbsnvKa,16s0YTFcyjP4kgFwt7ktrY,"天空之城復出演唱會LIVECD全紀錄",2004,26
0h6fF3tYgGv7oiGhc9nUib,16s0YTFcyjP4kgFwt7ktrY,"時光機",2003,38
1kmvQ9M9gQueTf6hP8vtMO,16s0YTFcyjP4kgFwt7ktrY,"你要去哪裡巡迴演唱會",2001,29
4YUFfDcBE7Yl0FrxKUuC9G,16s0YTFcyjP4kgFwt7ktrY,"人生海海",2001,36
0CMBn9K7y4sClB4fB1hiXi,16s0YTFcyjP4kgFwt7ktrY,"愛情萬歲",2000,38
0kJp80UyMwJdBXJFcAy57n,16s0YTFcyjP4kgFwt7ktrY,"第168場演唱會",1999,20
1zg3RDpckJ0sgE5N7QrUdL,16s0YTFcyjP4kgFwt7ktrY,"五月天第一張創作專輯",1999,37
